model,split,train_samples,test_samples,random_state,confusion_matrix_path,model_parameters,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score,Specificity,NPV,MCC,FPR,FNR,FDR,FOR,Prediction Time
RF,60:40,14688,9792,42,results\confusion_matrices\rf_60_40.png,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",1262,1225,0,7305,0.874898,0.856389,1.0,0.92264,0.507439,1.0,0.659215,0.492561,0.0,0.143611,0,0.167798
DT,60:40,14688,9792,42,results\confusion_matrices\dt_60_40.png,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 15, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",1920,567,70,7235,0.934947,0.927326,0.990418,0.957834,0.772014,0.964824,0.824745,0.227986,0.009582,0.072674,0,0.025032
RF,70:30,17136,7344,42,results\confusion_matrices\rf_70_30.png,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",953,912,0,5479,0.875817,0.857299,1.0,0.923168,0.510992,1.0,0.661871,0.489008,0.0,0.142701,0,0.146718
DT,70:30,17136,7344,42,results\confusion_matrices\dt_70_30.png,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 15, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",1427,438,38,5441,0.935185,0.925498,0.993064,0.958091,0.765147,0.974061,0.825867,0.234853,0.006936,0.074502,0,0.018994
RF,80:20,19584,4896,42,results\confusion_matrices\rf_80_20.png,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",649,594,0,3653,0.878676,0.860137,1.0,0.92481,0.522124,1.0,0.670148,0.477876,0.0,0.139863,0,0.120588
DT,80:20,19584,4896,42,results\confusion_matrices\dt_80_20.png,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 15, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",962,281,28,3625,0.936887,0.928059,0.992335,0.959122,0.773934,0.971717,0.830344,0.226066,0.007665,0.071941,0,0.016724
